name,description,cost,formPDFlocation,block,linked,supervisor,secretary,presenter,room,capacity,buffer
Policing with the RCMP,"This is your chance to hear from an active Royal Canadian Mounted Police officer.  Sergeant Evans will share with you the pros and cons of a career with the RCMP, the type of policing candidates they seek out as well as his career experiences in protective policing, tactical policing, organized crime and his current Masters degree program in Terrorism and Public Safety.  ",0,,1,,Tracie,,Dave Evans,114,25,0
Policing with the RCMP,"This is your chance to hear from an active Royal Canadian Mounted Police officer.  Sergeant Evans will share with you the pros and cons of a career with the RCMP, the type of policing candidates they seek out as well as his career experiences in protective policing, tactical policing, organized crime and his current Masters degree program in Terrorism and Public Safety.  ",0,,2,,Tracie,,Dave Evans,114,25,0
Women in the Trades Q&A,Thinking about a career in the trades and/or making a living using your hands?  This is an opportunity for you to meet some fascinating women working with their hands and following their passions.  Bring your questions.,0,,1,,Jen,,"Mireille St-Denis: HVAC,  Merideth Kucey: Welder/Jewelry Maker, Farren Medynski:welder",220,25,0
Board Games & Snacks,"Board games and Snacks! Learn to play fun interactive and social board games. A time to relax, meet new people, learn some new games and have a few snacks. Possible games include, Settlers of Catan, Magic the Gathering, Werewolf, and Codenames.",0,,2,,Adam Smith & Pete Edmond,,,146,20,0
Wilderness Rescue,Learn more about the exciting job of completing rescues in the wilderness.  Dan is a full time firefighter plus he runs a company called Raven Rescue that teaches technical rescues to a variety of user groups ranging from resource organizations and industry to first responders and Military.,0,,1,,Gail,,Dan Kirvan,113,25,0
Wilderness Rescue,Learn more about the exciting job of completing rescues in the wilderness.  Dan is a full time firefighter plus he runs a company called Raven Rescue that teaches technical rescues to a variety of user groups ranging from resource organizations and industry to first responders and Military.,0,,2,,Gail,,Dan Kirvan,113,25,0
Massage Therapist and Physiotherapist,West Carleton graduates Kelly Gibbons and Vicky Follett share their expertise as a Massage Therapist and Physiotherapist working to help children through rehabilitation.  Come and learn about the pathway towards these careers!,0,,1,,Kelly,,Kelly Gibbons and Vicky Follett,217,25,0
Museum of Nature,"This trip is open to all students but the focus will be directed at senior science students.  Biodiversity and evolutionary relationships will be the focus of the museum visit.  This is a full day field trip (8am-2:15pm).  Permission Form will be sent to your school gmail account; print, sign and return to it room 105 ASAP.  Cost $19",19,,1,"1,2",Katrina/Kieran (Lindsay Ott if second bus needed),,,Offsite,40,0
Photograpy,Want to make that photo just a little bit more spectacular? Join this session to learn how to use production tools such as editing software to enhance those memorable moments. Make sure to bring some digital photos with you!,0,,1,,Kelly ,,Ali Hassani,132,25,0
Video Production,Want to know more about what it takes to make a film? Join this session to learn how to use production tools such as editing software and green screens to capture and enhance those memorable moments.,0,,2,,Kelly ,,Ali Hassani,132,25,0
Psychologist,"Prepare to have fun! Through music and games, you will learn about a day in the life of a Clinical Psychologist. This session will be hosted by Dr. Laura Armstrong who is a child, adolescent, and adult Psychologist as well as an Assistant Professor at Saint Paul University in the School of Counselling, Psychotherapy, and Spirituality. Learn about what therapy for mental health concerns looks like in private practice, opportunities in psychological research, and different educational routes.",0,,1,,Tracie/Jacqueline,,Dr. Laura Armstrong,218,30,0
Psychologist,"Prepare to have fun! Through music and games, you will learn about a day in the life of a Clinical Psychologist. This session will be hosted by Dr. Laura Armstrong who is a child, adolescent, and adult Psychologist as well as an Assistant Professor at Saint Paul University in the School of Counselling, Psychotherapy, and Spirituality. Learn about what therapy for mental health concerns looks like in private practice, opportunities in psychological research, and different educational routes.",0,,2,,Tracie/Jacqueline,,Dr. Laura Armstrong,218,25,0
Criminal Defence Lawyer,"Join David Anber, a criminal defence lawyer, as he shares his experiences in the fun, fast-paced and mentally challenging field of law. You will learn how he ended up in his specific job, what a typical day is like as well as hear about the series of challenges both within the court and the business side of being a lawyer.  ",0,,2,,Tracie/Jacqueline,,David Anber,217,25,0
Roofing business & Entrepreneurship,Rydel Roofing is a local roofing business.  These local businessmen will share information about being an entrepreneur and the task of running a business.  You\'ll also learn about the roofing industry and the different areas it has within it as well as Rydel College that will be launching in Feb 2018 for skilled trades in the roofing industry.,0,,1,,Tracie/Jenn Sernoskie,,Ryan Crouse,231,25,0
Roofing business & Entrepreneurship,Rydel Roofing is a local roofing business.  These local businessmen will share information about being an entrepreneur and the task of running a business.  You\'ll also learn about the roofing industry and the different areas it has within it as well as Rydel College that will be launching in Feb 2018 for skilled trades in the roofing industry.,0,,2,,Tracie/Jenn Sernoskie,,Ryan Crouse,231,25,0
Broadcast Journalism,"A proud WCSS grad - Catherine Lathem has been a reporter with CTV Ottawa for more than 15-years. During her time as a journalist, she’s covered everything from royal visits and federal politics to crime and the courts. Today she’ll share with you the journey of her career path, and take you inside some of the highs and lows of the job. And you will have the chance to be the reporter… there will be time for you to ask her anything you want to know about the job!",0,,1,,Tracie,,Catherine Lathem,112,30,0
Essential Oils,"When school + life combined feels completely overwhelming, we can use some tools like essential oils to calm our nerves.In this class you will learn the basics of essential oils + how to safely and effectively use them. Then we will make a personal stress less blend for you to take home. Cost: $10",10,,2,,Tracie/Amie Lee,,Ellie McMillan,229,25,0
Chat  with a Team Canada Athlete,Come hear what a day in the life of an athlete is like. The highs and lows of having a full time job representing Team Canada and the lessons learned along the way that can be applied to everyday life.,0,,2,,CDR,,Julia Corrente,213,25,0
Acadia University,"Learn about applying to the Atlantic Province universities, the Maple League of Universities which includes St. Fx, Bishop\'s, Mount Allison and Acadia. In addition, learn about programs unique to Acadia.",0,,1,,CDR,,Adrian Graves,211,30,0
Acadia University,"Learn about applying to the Atlantic Province universities, the Maple League of Universities which includes St. Fx, Bishop\'s, Mount Allison and Acadia. In addition, learn about programs unique to Acadia.",0,,2,,CDR,,Adrian Graves,211,25,0
Electrician,"Considering a career as an electrician?  Choose this session to hear from someone who currently works in the field.  You will learn more about the specifics of the job, possible job options, required training and more.",0,,1,,Tracie/Maureen Smith,,Don Peever,212,30,0
HVAC,"Interested in a career involving Heating and Air Conditioning?  Select this session to learn more about HVAC jobs, required training and what to expect in the field.",0,,2,,Tracie/Maureen Smith,,Don Peever,212,25,0
Writing Workshop,Join Ms. Hauch as she provides some valuable insight on ways you can get on the road to becoming a published author.,0,,1,,Alison Hauch,,,229,15,0
Latin Ballroom Dancing,Looking to learn a new style of dance?  WCSS student Taite Hauch-Krueger will be leading a ballroom dance workshop. You will learn the basic Cha-Cha figures and then a small combination. No partner required. Wear running shoes or dance in your bare feet. Comfortable clothes and a bottle of water is recommended.,0,,2,,Gail,,Taite Hauch-Krueger,Caf (Stage),15,0
Transitioning from High School to Post-Secondary,"This is your opportunity to learn about making the most of your post-secondary school experience. During this workshop, you can ask questions of current post-secondary school students who have attended Queen\'s University, Trent University and Carleton University. We will explore topics such as course selection and planning, student life skills, extra-curricular activities and living in residence.",0,,1,,Sarah Fournier,,"Jillian Kerr, Emma MacLean, Melissa Belanger",117,30,0
Singing and Songwriting Workshop,"Calling the songwriter in you! This workshop will take you on a journey through the popular song. Together we will navigate rhyming, points of view, lyrical phrasing, form and much more to give you the tools you need to write a great song! Bring your instruments and your singing voices if you like but you do NOT need any experience to join this workshop. ALL are welcome!!",0,,2,,Sarah Fournier,,Jillian Kerr,144,15,0
"Seeking Empowerment, Inspiration & Motivation","Here\'s your chance to be empowered in an hour!  You will learn about the 12 Advanced Life Skills Strategies that will assist you in developing some real life skills to be able to do something meaningful in your life. If you start focusing when you’re young, the chances of you having an amazing future full of fortune will increase greatly. This session will teach you core fundamental concepts that are simply explained to assist you to obey your curiosity, seek truth knowledge and illuminate your future.  This presentation will be interactive, so get ready to have lots of fun while learning how to push yourself up in life!",0,,2,,Tracie/Jenn Sernoskie,,"Tracey Larin, Curiousity Knocks Inc.",220,25,0
Careers in the Armed Forces,Considering a career in the Canadian Armed Forces?   An Armed Forces recruiter will describe opportunities for exciting and rewarding careers in the Canadian Military.  Make an informed decision about your future.,0,,1,,CDR,,Sergeant David Contini,204,30,0
Careers in the Armed Forces,Considering a career in the Canadian Armed Forces?   An Armed Forces recruiter will describe opportunities for exciting and rewarding careers in the Canadian Military.  Make an informed decision about your future.,0,,2,,CDR,,Sergeant David Contini,204,25,0
Dealing with Stress in a Stressful World,School and life can be stressful.  Learn some useful tricks for managing your own stress levels.  ,0,,1,,CDR,,Rachael Riethman,120,25,0
Working with Children with Autism,Have you thought of a career working with students with special needs? Learn about the rewarding field of working with children with autism.  ,0,,2,,CDR,,Rachael Riethman,120,25,0
Community Employment Resource Centre,Need advice on how to find a part-time job?  Looking to improve your resume writing skills?  This session will be hosted by the Community Employment Resource Centre and will help you get on track towards your first paycheque!,0,,1,,CDR,,Sarah Brown-Bennett and Michaela Curtis,232,30,0
Community Employment Resource Centre,Need advice on how to find a part-time job?  Looking to improve your resume writing skills?  This session will be hosted by the Community Employment Resource Centre and will help you get on track towards your first paycheque!,0,,2,,CDR,,Sarah Brown-Bennett and Michaela Curtis,232,25,0
Life of a Student Athlete,"Liam Smedley is a former WCSS grad who is currently a member of the Canadian Senior National Slalom Team in Whitewater Canoeing.   In addition to his athletic career, Liam is currently attending Carleton University.  Liam will share his exciting adventures of world travel  and how he manages to balance his education with his passion for his sport.  ",0,,1,,Tracie/Jim Smedley,,Liam Smedley,202,30,0
Holistic Nutritionist,"Join Amy Longard, a Registered Holistic Nutritionist and professionally trained Natural Food Chef, as she discusses how you can lead a healthier and more balanced life. Through nutritional consultation, cooking, ​coaching, education, and cooking, Amy aspires to help people reach their goals and overcome health challenges.",0,,2,,Gail,,Amy Longard,116,25,0
Careers in Engineering,"If you are looking towards a career in Engineering, this session is for you!  Learn more about potential career options, required programs and how to find a job in a field you love.  This session will be hosted by representatives from Carleton University.",0,,1,,CDR,,,208,25,0
Environmental Sampling,"Learn more about the Canadian Nuclear Safety Commission (CNSC) and its role in the Canadian nuclear world. Hear directly from a current co-op student about her academic experience, what a typical day at work is like, and some of her tasks. Coming from an environmental science background and working with the environmental protection team, our presenter will be shedding light on the sampling trips that are done in her division with CNSC, in which different samples are collected to ensure that the public and environment are protected from nuclear activities. Some sampling kits and tools will be demonstrated.",0,,1,,Tracie/Jacqueline,,Taline Kalindjian,207,25,0
Environmental Sampling,"Learn more about the Canadian Nuclear Safety Commission (CNSC) and its role in the Canadian nuclear world. Hear directly from a current co-op student about her academic experience, what a typical day at work is like, and some of her tasks. Coming from an environmental science background and working with the environmental protection team, our presenter will be shedding light on the sampling trips that are done in her division with CNSC, in which different samples are collected to ensure that the public and environment are protected from nuclear activities. Some sampling kits and tools will be demonstrated.",0,,2,,Tracie/Jacqueline,,Taline Kalindjian,207,25,0
Let\'s talk About Sex!,Youth guided talk about sexual health. Have all your questions answered by a Public Health Nurse.,0,,2,,CDR,,Katrina Coderre,205,25,0
