name,description,cost,formPDFlocation,block,linked,supervisor,secretary,presenter,room,capacity,buffer
The Learning Partnership - Entrepreneurial Adventure Program,0,0,,3,,Jen Stewart,,Betty Weil,0,30,2
YMCA - Employment (Youth Link),0,0,,1,,Jen Stewart,,Jim Watkins,0,30,2
Apprenticeships/Tradespersons,0,0,,1,,Jen Stewart,,"Toromont, Careers in the Construction Industry,",0,30,2
Apprenticeships/Tradespersons,0,0,,2,,Jen Stewart,,"Toromont, Careers in the Construction Industry,",0,30,2
Apprenticeships/Tradespersons,FEMALE ONLY Session,0,,3,,Jen Stewart,,"Toromont, Careers in the Construction Industry,",0,30,2
Autism,0,0,,1,,Jen Stewart,,Emily Pym - IBI specialist,0,30,2
Autism,0,0,,2,,Jen Stewart,,Emily Pym - IBI specialist,0,30,2
Finding Your Pathway: Experiential Learning Beyond the Classroom,0,0,,2,,Tracie Langford,,"Candace Carson, Instructional Coach",0,30,2
Finding Your Pathway: Experiential Learning Beyond the Classroom,0,0,,3,,Tracie Langford,,"Candace Carson, Instructional Coach",0,30,2
Smart Serve Online Training Course,"Pump up your resume! Begin your Smart Serve course at a discount! Must be 18 years old to serve in Ontario so best suited for grades 11 and 12. Please note you must finish the online course on your own time, outside of school, within 30 days and you will need a webcam to show proper identification for the final evaluation. Cost: $30 ??? This is last year's cost...this year????",0,,1,,Tracie Langford,,0,Room 101,15,2
Smart Serve Online Training Course,"Pump up your resume! Begin your Smart Serve course at a discount! Must be 18 years old to serve in Ontario so best suited for grades 11 and 12. Please note you must finish the online course on your own time, outside of school, within 30 days and you will need a webcam to show proper identification for the final evaluation. Cost: $30 ??? This is last year's cost...this year????",0,,2,,Tracie Langford,,0,Room 101,15,2
Smart Serve Online Training Course,"Pump up your resume! Begin your Smart Serve course at a discount! Must be 18 years old to serve in Ontario so best suited for grades 11 and 12. Please note you must finish the online course on your own time, outside of school, within 30 days and you will need a webcam to show proper identification for the final evaluation. Cost: $30 ??? This is last year's cost...this year????",0,,3,,Tracie Langford,,0,Room 101,15,2
Customer Service Online Training Course,Pump up your resume! Use this session to start working on the ALISON Customer Service Training Course. This course is offered free of charge in an online format. Computers and space provided to help get you started!,0,,1,,Tracie Langford,,0,Room 101,15,2
Customer Service Online Training Course,Pump up your resume! Use this session to start working on the ALISON Customer Service Training Course. This course is offered free of charge in an online format. Computers and space provided to help get you started!,0,,2,,Tracie Langford,,0,Room 101,15,2
Customer Service Online Training Course,Pump up your resume! Use this session to start working on the ALISON Customer Service Training Course. This course is offered free of charge in an online format. Computers and space provided to help get you started!,0,,3,,Tracie Langford,,0,Room 101,15,2
Auto Mechanics for Beginners,Always wanted to know how to change your own tire or oil...well now's your chance!! Mitch Carroll and Scott Kirk will teach you these two basic automotive skills. This session is not suitable for students who have previous automotive experience.,0,,1,,Jen Stewart,,Mitch Carroll & Scott Kirk,Auto Shop,15,2
Auto Mechanics for Beginners,Always wanted to know how to change your own tire or oil...well now's your chance!! Mitch Carroll and Scott Kirk will teach you these two basic automotive skills. This session is for Female students only.,0,,2,,Jen Stewart,,Mitch Carroll & Scott Kirk,Auto Shop,15,2
